State,Year,Month,Assembly_no,Constituency_no,Position,Name_of_Candidate,Sex,Party,Votes,Age,Candidate_type,Total_valid_votes,Total Electors,Constituency_name,Constituency_type,total no of candidates,Turnout perecntage,Vote_share_percentage
Karnataka,1999,10,6,3,1,RAJENDRA VERMA,M,BJP,32189,NA,NA,72007,142452,HULSOOR,SC,11,50.55,44.7
Karnataka,1999,10,6,3,10,BALURKAR NARYAN,M,IND,451,NA,NA,72007,142452,HULSOOR,SC,11,50.55,0.63
Karnataka,1999,10,6,3,11,VITHAL SIPPIKAR,M,IND,151,NA,NA,72007,142452,HULSOOR,SC,11,50.55,0.21
Karnataka,1999,10,6,3,2,SHIVARAJ HASANKAR,M,INC,19732,NA,NA,72007,142452,HULSOOR,SC,11,50.55,27.4
Karnataka,1999,10,6,3,3,SHRAVAN KUMAR M GAIKWAD,M,JD(S),11573,NA,NA,72007,142452,HULSOOR,SC,11,50.55,16.07
Karnataka,1999,10,6,3,4,B. VITHAL DAKULAGI,M,BSP,1899,NA,NA,72007,142452,HULSOOR,SC,11,50.55,2.64
Karnataka,1999,10,6,3,5,MILIND BALIRAM (GURUJI),M,RPI,1746,NA,NA,72007,142452,HULSOOR,SC,11,50.55,2.42
Karnataka,1999,10,6,3,6,RAJENDRA GOPU CHAWAN,M,IND,1492,NA,NA,72007,142452,HULSOOR,SC,11,50.55,2.07
Karnataka,1999,10,6,3,7,L.K. CHAWAN,M,IND,1102,NA,NA,72007,142452,HULSOOR,SC,11,50.55,1.53
Karnataka,1999,10,6,3,8,PYAGE VAIJANATH,M,IND,892,NA,NA,72007,142452,HULSOOR,SC,11,50.55,1.24
Karnataka,1999,10,6,3,9,H.MAHADEVI,F,IND,780,NA,NA,72007,142452,HULSOOR,SC,11,50.55,1.08
Karnataka,1999,10,6,4,1,RAMESHKUMAR PANDE,M,BJP,44270,NA,NA,130979,204135,BIDAR,GEN,9,64.16,33.8
Karnataka,1999,10,6,4,2,BANDEPPA MANIKAPPA KHASIMPUR,M,INC,42180,NA,NA,130979,204135,BIDAR,GEN,9,64.16,32.2
Karnataka,1999,10,6,4,3,SYED ZULFEQAR HASHAMI,M,BSP,41699,NA,NA,130979,204135,BIDAR,GEN,9,64.16,31.84
Karnataka,1999,10,6,4,4,N.F.SHAHEEN PATEL,M,JD(S),1415,NA,NA,130979,204135,BIDAR,GEN,9,64.16,1.08
Karnataka,1999,10,6,4,5,AFSAR KHAN GADGI BASHEER KHAN GADGI,M,IND,651,NA,NA,130979,204135,BIDAR,GEN,9,64.16,0.5
Karnataka,1999,10,6,4,6,SURESH SWAMY MANHALLI,M,IND,277,NA,NA,130979,204135,BIDAR,GEN,9,64.16,0.21
Karnataka,1999,10,6,4,7,HUDGE VISHWANATH BASAPPA CHIDRI,M,IND,226,NA,NA,130979,204135,BIDAR,GEN,9,64.16,0.17
Karnataka,1999,10,6,4,8,SYED MUJAHEED ALI SYED SADIQ ALI HAMILAPUR,M,IND,163,NA,NA,130979,204135,BIDAR,GEN,9,64.16,0.12
Karnataka,1999,10,6,4,9,M.A.HANNAN MALIK,M,IND,98,NA,NA,130979,204135,BIDAR,GEN,9,64.16,0.07
Karnataka,1999,10,6,5,1,SUBHAS KALLUR,M,BJP,35438,NA,NA,97243,151874,HUMNABAD,GEN,7,64.03,36.44
Karnataka,1999,10,6,5,2,RAJASHEKHAR BASAVARAJ PATIL,M,INC,31868,NA,NA,97243,151874,HUMNABAD,GEN,7,64.03,32.77
Karnataka,1999,10,6,5,3,MERAJUDDIN PATEL,M,JD(S),26099,NA,NA,97243,151874,HUMNABAD,GEN,7,64.03,26.84
Karnataka,1999,10,6,5,4,DEVENDRAKUMAR ASST. COMMI. (RETD.),M,IND,2166,NA,NA,97243,151874,HUMNABAD,GEN,7,64.03,2.23
Karnataka,1999,10,6,5,5,SUDERSHAN MADEPPA MALGE,M,IND,766,NA,NA,97243,151874,HUMNABAD,GEN,7,64.03,0.79
Karnataka,1999,10,6,5,6,SHAKEEL AHMED SHAMMAN,M,BSP,643,NA,NA,97243,151874,HUMNABAD,GEN,7,64.03,0.66
Karnataka,1999,10,6,5,7,NARASAPPA LACHAPPA MUTTANGI,M,IND,263,NA,NA,97243,151874,HUMNABAD,GEN,7,64.03,0.27
Karnataka,1999,10,6,6,1,M.G.MULE,M,JD(S),48166,NA,NA,95162,155196,BASAVAKALYAN,GEN,8,61.32,50.61
Karnataka,1999,10,6,6,2,BASAWARAJ PATIL ATTUR,M,JD(U),29002,NA,NA,95162,155196,BASAVAKALYAN,GEN,8,61.32,30.48
Karnataka,1999,10,6,6,3,SHANTAPPA G PATIL,M,NCP,5381,NA,NA,95162,155196,BASAVAKALYAN,GEN,8,61.32,5.65
Karnataka,1999,10,6,6,4,GUNDAPPA SHERIKAR JANAWADA,M,IND,4880,NA,NA,95162,155196,BASAVAKALYAN,GEN,8,61.32,5.13
Karnataka,1999,10,6,6,5,MEER JAHANGIR ALI,M,INC,3574,NA,NA,95162,155196,BASAVAKALYAN,GEN,8,61.32,3.76
Karnataka,1999,10,6,6,6,SHARADKUMAR GANURE,M,IND,1924,NA,NA,95162,155196,BASAVAKALYAN,GEN,8,61.32,2.02
Karnataka,1999,10,6,6,7,DR.AMARANATH JAMADAR,M,BSP,1541,NA,NA,95162,155196,BASAVAKALYAN,GEN,8,61.32,1.62
Karnataka,1999,10,6,6,8,SARDAR KHAN,M,IND,694,NA,NA,95162,155196,BASAVAKALYAN,GEN,8,61.32,0.73
Karnataka,1999,10,6,7,1,KAILASHNATH PATIL,M,INC,42814,NA,NA,81739,137689,CHINCHOLI,GEN,7,59.36,52.38
Karnataka,1999,10,6,7,2,VAIJNATH PATIL,M,JD(S),16551,NA,NA,81739,137689,CHINCHOLI,GEN,7,59.36,20.25
Karnataka,1999,10,6,7,3,SHIVASHARNAPPA JAPATTI,M,BJP,15724,NA,NA,81739,137689,CHINCHOLI,GEN,7,59.36,19.24
Karnataka,1999,10,6,7,4,SYED MASTAN ALI,M,IND,3462,NA,NA,81739,137689,CHINCHOLI,GEN,7,59.36,4.24
Karnataka,1999,10,6,7,5,R.R.PATIL,M,SP,2047,NA,NA,81739,137689,CHINCHOLI,GEN,7,59.36,2.5
Karnataka,1999,10,6,7,6,DR. H.S. SHIVPUR,M,BSP,731,NA,NA,81739,137689,CHINCHOLI,GEN,7,59.36,0.89
Karnataka,1999,10,6,7,7,UMA PATIL,F,IND,410,NA,NA,81739,137689,CHINCHOLI,GEN,7,59.36,0.5
Karnataka,1999,10,6,8,1,REVUNAIK BELAMGI,M,BJP,27531,NA,NA,69410,124862,KAMALAPUR,SC,7,55.59,39.66
Karnataka,1999,10,6,8,2,G.RAMKRISHNA,M,INC,18981,NA,NA,69410,124862,KAMALAPUR,SC,7,55.59,27.35
Karnataka,1999,10,6,8,3,MARUTHI MANAPADE,M,CPM,14043,NA,NA,69410,124862,KAMALAPUR,SC,7,55.59,20.23
Karnataka,1999,10,6,8,4,SUBHASH V RATHOD,M,JD(S),6231,NA,NA,69410,124862,KAMALAPUR,SC,7,55.59,8.98
Karnataka,1999,10,6,8,5,MAHADEVI H BHIMAPURE,F,BSP,1302,NA,NA,69410,124862,KAMALAPUR,SC,7,55.59,1.88
Karnataka,1999,10,6,8,6,TIPPANNA WADAIRAJ,M,SP,931,NA,NA,69410,124862,KAMALAPUR,SC,7,55.59,1.34
Karnataka,1999,10,6,8,7,JADHAV S.M.,M,IND,391,NA,NA,69410,124862,KAMALAPUR,SC,7,55.59,0.56
Karnataka,1999,10,6,9,1,GUTTEDAR SUBHASH RUKMAYYA,M,JD(S),29762,NA,NA,76535,128676,ALLAND,GEN,7,59.48,38.89
Karnataka,1999,10,6,9,2,B.R.PATIL,M,JD(U),27451,NA,NA,76535,128676,ALLAND,GEN,7,59.48,35.87
Karnataka,1999,10,6,9,3,DR. VIJAYA DIGAMBAR RAO KALMANKAR,M,INC,12146,NA,NA,76535,128676,ALLAND,GEN,7,59.48,15.87
Karnataka,1999,10,6,9,4,APPARAO M PATIL,M,IND,4083,NA,NA,76535,128676,ALLAND,GEN,7,59.48,5.33
Karnataka,1999,10,6,9,5,MAWALA MULLA,M,CPI,2240,NA,NA,76535,128676,ALLAND,GEN,7,59.48,2.93
Karnataka,1999,10,6,9,6,LIYAKAT ALI,M,BSP,535,NA,NA,76535,128676,ALLAND,GEN,7,59.48,0.7
Karnataka,1999,10,6,9,7,ASHOK KULKARNI MURALIDHAR RAO,M,IND,318,NA,NA,76535,128676,ALLAND,GEN,7,59.48,0.42
Karnataka,1999,10,6,10,1,QAMARUL ISLAM,M,INC,79225,NA,NA,162197,267585,GULBARGA,GEN,5,60.62,48.84
Karnataka,1999,10,6,10,2,CHANDRASHEKHAR D PATIL RAVOOR,M,BJP,67446,NA,NA,162197,267585,GULBARGA,GEN,5,60.62,41.58
Karnataka,1999,10,6,10,3,S.K.KANTA,M,JD(U),11704,NA,NA,162197,267585,GULBARGA,GEN,5,60.62,7.22
Karnataka,1999,10,6,10,4,ASHFAQ CHULBUL,M,JD(S),3317,NA,NA,162197,267585,GULBARGA,GEN,5,60.62,2.05
Karnataka,1999,10,6,10,5,QAUM PATEL,M,SP,505,NA,NA,162197,267585,GULBARGA,GEN,5,60.62,0.31
Karnataka,1999,10,6,11,1,BABURAO CHAVHAN,M,INC,38072,NA,NA,91901,178880,SHAHABAD,SC,6,51.38,41.43
Karnataka,1999,10,6,11,2,VALMIK KAMALU NAIK,M,BJP,30206,NA,NA,91901,178880,SHAHABAD,SC,6,51.38,32.87
Karnataka,1999,10,6,11,3,C. GURUNATH,M,JD(U),12777,NA,NA,91901,178880,SHAHABAD,SC,6,51.38,13.9
Karnataka,1999,10,6,11,4,DR. S.H. KATTI,M,BSP,5769,NA,NA,91901,178880,SHAHABAD,SC,6,51.38,6.28
Karnataka,1999,10,6,11,5,ASHOK LAKHE,M,JD(S),3441,NA,NA,91901,178880,SHAHABAD,SC,6,51.38,3.74
Karnataka,1999,10,6,11,6,MAPANNA HADANUR,M,IND,1636,NA,NA,91901,178880,SHAHABAD,SC,6,51.38,1.78
Karnataka,1999,10,6,12,1,MALIKAYYA VENKAYYA GUTTEDAR,M,JD(S),32896,NA,NA,86212,147247,AFZALPUR,GEN,6,58.55,38.16
Karnataka,1999,10,6,12,2,M.Y.PATIL,M,INC,31061,NA,NA,86212,147247,AFZALPUR,GEN,6,58.55,36.03
Karnataka,1999,10,6,12,3,VITHAL HEROOR,M,BSP,10789,NA,NA,86212,147247,AFZALPUR,GEN,6,58.55,12.51
Karnataka,1999,10,6,12,4,HUCHAPPA GOUR,M,IND,6183,NA,NA,86212,147247,AFZALPUR,GEN,6,58.55,7.17
Karnataka,1999,10,6,12,5,SIDRAMAPPA SIDDAPPA HIRUKURUBAR,M,BJP,5168,NA,NA,86212,147247,AFZALPUR,GEN,6,58.55,5.99
Karnataka,1999,10,6,12,6,GURUSHANT PATTEDAR,M,JD(U),115,NA,NA,86212,147247,AFZALPUR,GEN,6,58.55,0.13
Karnataka,1999,10,6,13,1,BABU RAO BASWANNAPPA CHINCHANSOOR,M,INC,39919,NA,NA,75825,125895,CHITAPUR,GEN,7,60.23,52.65
Karnataka,1999,10,6,13,2,VISHWANATH PATIL HEBBAL,M,JD(U),31863,NA,NA,75825,125895,CHITAPUR,GEN,7,60.23,42.02
Karnataka,1999,10,6,13,3,VISHWANATH MALAKAPPA,M,IND,1883,NA,NA,75825,125895,CHITAPUR,GEN,7,60.23,2.48
Karnataka,1999,10,6,13,4,MOHAMMED ISMAIL KHASIM SAB,M,SP,638,NA,NA,75825,125895,CHITAPUR,GEN,7,60.23,0.84
Karnataka,1999,10,6,13,5,ANNA RAO SANNURKAR,M,JD(S),633,NA,NA,75825,125895,CHITAPUR,GEN,7,60.23,0.83
Karnataka,1999,10,6,13,6,ANNAPPA MAKIKAPPA NAGOOR,M,IND,550,NA,NA,75825,125895,CHITAPUR,GEN,7,60.23,0.73
Karnataka,1999,10,6,13,7,M MASHAK ALI A GAFOOR,M,IND,339,NA,NA,75825,125895,CHITAPUR,GEN,7,60.23,0.45
Karnataka,1999,10,6,14,1,BASAVANATHREDDY MOTHAKPALLI,M,INC,44210,NA,NA,81149,133796,SEDAM,GEN,6,60.65,54.48
Karnataka,1999,10,6,14,2,CHANDRASHEKAR REDDY DESHMUKH MADANA,M,JD(U),20526,NA,NA,81149,133796,SEDAM,GEN,6,60.65,25.29
Karnataka,1999,10,6,14,3,DR. SHIVASHANKAR TALLALLI,M,JD(S),6920,NA,NA,81149,133796,SEDAM,GEN,6,60.65,8.53
Karnataka,1999,10,6,14,4,SRINIVAS DESHPANDE,M,IND,6025,NA,NA,81149,133796,SEDAM,GEN,6,60.65,7.42
Karnataka,1999,10,6,14,5,RAMANNA PEERAPPA YELLI,M,BSP,1859,NA,NA,81149,133796,SEDAM,GEN,6,60.65,2.29
Karnataka,1999,10,6,14,6,SHANKAR KODLA,M,IND,1609,NA,NA,81149,133796,SEDAM,GEN,6,60.65,1.98
Karnataka,1999,10,6,15,1,DHARMASINGH NARAYANASINGH,M,INC,37510,NA,NA,86892,156132,JEWARGI,GEN,5,55.65,43.17
Karnataka,1999,10,6,15,2,SHIVALINGAPPA PATIL NARIBOLE,M,BJP,35549,NA,NA,86892,156132,JEWARGI,GEN,5,55.65,40.91
Karnataka,1999,10,6,15,3,KEDARLINGAYYA HIREMATH,M,JD(S),7715,NA,NA,86892,156132,JEWARGI,GEN,5,55.65,8.88
Karnataka,1999,10,6,15,4,SHIVALINGAPPA KINNUR HARWAL,M,BSP,4577,NA,NA,86892,156132,JEWARGI,GEN,5,55.65,5.27
Karnataka,1999,10,6,15,5,BALAPPA DUNDAPPA IRAWWAGOL,M,IND,1541,NA,NA,86892,156132,JEWARGI,GEN,5,55.65,1.77
Karnataka,1999,10,6,16,1,MALLIKARJUN KHARGE,M,INC,54569,NA,NA,71095,133339,GURMITKAL,SC,5,53.32,76.76
Karnataka,1999,10,6,16,2,ASHOK GURUJI,M,JD(U),7445,NA,NA,71095,133339,GURMITKAL,SC,5,53.32,10.47
Karnataka,1999,10,6,16,3,TIMMANNA HEDGIMADRI,M,JD(S),6986,NA,NA,71095,133339,GURMITKAL,SC,5,53.32,9.83
Karnataka,1999,10,6,16,4,SHANTARAJ MOTANALLI,M,BSP,1231,NA,NA,71095,133339,GURMITKAL,SC,5,53.32,1.73
Karnataka,1999,10,6,16,5,A. BUGGAYYA,M,IND,864,NA,NA,71095,133339,GURMITKAL,SC,5,53.32,1.22
Karnataka,1999,10,6,17,1,DR. A.B.MALAKAREDDY,M,INC,33242,NA,NA,74270,141076,YADGIR,GEN,5,52.65,44.76
Karnataka,1999,10,6,17,2,DR. VEERABASWANTHREDDY,M,JD(U),22380,NA,NA,74270,141076,YADGIR,GEN,5,52.65,30.13
Karnataka,1999,10,6,17,3,MOULALI ANPUR,M,IND,8903,NA,NA,74270,141076,YADGIR,GEN,5,52.65,11.99
Karnataka,1999,10,6,17,4,SIDDANNA,M,JD(S),8703,NA,NA,74270,141076,YADGIR,GEN,5,52.65,11.72
Karnataka,1999,10,6,17,5,DR. LINGANAGOUDA,M,BSP,1042,NA,NA,74270,141076,YADGIR,GEN,5,52.65,1.4
Karnataka,1999,10,6,18,1,SHIVASHEKHARAPPAGOUDA SIRWAL,M,INC,47963,NA,NA,94239,160544,SHAHAPUR,GEN,5,58.7,50.9
Karnataka,1999,10,6,18,2,SHARANABASAPPA DARSHANAPUR,M,JD(U),40339,NA,NA,94239,160544,SHAHAPUR,GEN,5,58.7,42.8
Karnataka,1999,10,6,18,3,RAJA VENKATAPPA NAYAK,M,JD(S),2921,NA,NA,94239,160544,SHAHAPUR,GEN,5,58.7,3.1
Karnataka,1999,10,6,18,4,SHIVARAJ JAGAPPA ALABNUR,M,IND,1595,NA,NA,94239,160544,SHAHAPUR,GEN,5,58.7,1.69
Karnataka,1999,10,6,18,5,BASAVARAJ SHARANAPPA DESAI KEMBHAVI,M,SP,1421,NA,NA,94239,160544,SHAHAPUR,GEN,5,58.7,1.51
Karnataka,1999,10,6,19,1,RAJA VENKATAPPA NAIK,M,INC,45351,NA,NA,97852,165287,SHORAPUR,GEN,7,59.2,46.35
Karnataka,1999,10,6,19,2,SHIVANNA MANGIHAL,M,IND,24901,NA,NA,97852,165287,SHORAPUR,GEN,7,59.2,25.45
Karnataka,1999,10,6,19,3,RAJA MADANGOPAL NAIK,M,IND,20195,NA,NA,97852,165287,SHORAPUR,GEN,7,59.2,20.64
Karnataka,1999,10,6,19,4,J.VENUGOPAL,M,BJP,4273,NA,NA,97852,165287,SHORAPUR,GEN,7,59.2,4.37
Karnataka,1999,10,6,19,5,NINGANNA CHINCHODI,M,JD(S),1946,NA,NA,97852,165287,SHORAPUR,GEN,7,59.2,1.99
Karnataka,1999,10,6,19,6,GHANSHAMDAS TIWARI,M,IND,945,NA,NA,97852,165287,SHORAPUR,GEN,7,59.2,0.97
Karnataka,1999,10,6,19,7,APPA SAB,M,BSP,241,NA,NA,97852,165287,SHORAPUR,GEN,7,59.2,0.25
Karnataka,1999,10,6,20,1,AKKARAKI YELLAPPA BANGAPPA,M,INC,39973,NA,NA,69206,131260,DEODURG,SC,4,52.72,57.76
Karnataka,1999,10,6,20,2,SHIVALINGASWAMI,M,JD(U),14602,NA,NA,69206,131260,DEODURG,SC,4,52.72,21.1
Karnataka,1999,10,6,20,3,R. THIMMAYYA,M,BJP,9112,NA,NA,69206,131260,DEODURG,SC,4,52.72,13.17
Karnataka,1999,10,6,20,4,CHANDRAPPA,M,CPM,5519,NA,NA,69206,131260,DEODURG,SC,4,52.72,7.97
Karnataka,1999,10,6,21,1,SYED YASIN,M,INC,35484,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,38.27
Karnataka,1999,10,6,21,10,VAJENDRACHAR KURDIKAR,M,IND,299,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,0.32
Karnataka,1999,10,6,21,11,MOHAMMED OMAR SAB,M,IND,167,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,0.18
Karnataka,1999,10,6,21,12,UMESH VENKATAPUR,M,IND,139,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,0.15
Karnataka,1999,10,6,21,2,AHUJA PAPA REDDY,M,BJP,29928,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,32.28
Karnataka,1999,10,6,21,3,M.S. PATIL,M,JD(U),21175,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,22.84
Karnataka,1999,10,6,21,4,G.RAMACHANDRA REDDY,M,JD(S),1686,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,1.82
Karnataka,1999,10,6,21,5,M. VIRUPAKASHI,M,BSP,1496,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,1.61
Karnataka,1999,10,6,21,6,U. BHEEMAREDDY,M,IND,942,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,1.02
Karnataka,1999,10,6,21,7,KHALEEL KHAN,M,IND,718,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,0.77
Karnataka,1999,10,6,21,8,V.H. MASTER,M,IND,347,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,0.37
Karnataka,1999,10,6,21,9,V.R. KULKARNI,M,IND,330,NA,NA,92711,180347,RAICHUR,GEN,12,51.41,0.36
Karnataka,1999,10,6,22,1,RAJA AMRESHWARA NAIK,M,INC,27691,NA,NA,81294,159697,KALMALA,GEN,9,50.91,34.06
Karnataka,1999,10,6,22,2,SHANKAR GOWDA HARAVI,M,BJP,26077,NA,NA,81294,159697,KALMALA,GEN,9,50.91,32.08
Karnataka,1999,10,6,22,3,B. MUNIYAPPA,M,JD(S),14968,NA,NA,81294,159697,KALMALA,GEN,9,50.91,18.41
Karnataka,1999,10,6,22,4,DEVAMITRA,M,IND,4018,NA,NA,81294,159697,KALMALA,GEN,9,50.91,4.94
Karnataka,1999,10,6,22,5,ANTHONY MATHEW,M,IND,3002,NA,NA,81294,159697,KALMALA,GEN,9,50.91,3.69
Karnataka,1999,10,6,22,6,RAJA PANDURANGA NAYAK,M,IND,2303,NA,NA,81294,159697,KALMALA,GEN,9,50.91,2.83
Karnataka,1999,10,6,22,7,SHIVA REDDY,M,BSP,1849,NA,NA,81294,159697,KALMALA,GEN,9,50.91,2.27
Karnataka,1999,10,6,22,8,SAKHAMURU RAMAGOPAL,M,IND,1153,NA,NA,81294,159697,KALMALA,GEN,9,50.91,1.42
Karnataka,1999,10,6,22,9,SAI BABA,M,IND,233,NA,NA,81294,159697,KALMALA,GEN,9,50.91,0.29
Karnataka,1999,10,6,23,1,BOSERAJU N.S,M,INC,43400,NA,NA,84839,140222,MANVI,GEN,8,60.5,51.16
Karnataka,1999,10,6,23,2,BASANAGOUDA BYAGAWAT,M,BJP,24890,NA,NA,84839,140222,MANVI,GEN,8,60.5,29.34
Karnataka,1999,10,6,23,3,GANGADHAR NAYAKA,M,JD(S),10266,NA,NA,84839,140222,MANVI,GEN,8,60.5,12.1
Karnataka,1999,10,6,23,4,M.D. NANJUNDASWAMY,M,IND,2930,NA,NA,84839,140222,MANVI,GEN,8,60.5,3.45
Karnataka,1999,10,6,23,5,N. JAGADEESH PRASAD,M,IND,1580,NA,NA,84839,140222,MANVI,GEN,8,60.5,1.86
Karnataka,1999,10,6,23,6,KANAKAPPA TONDEPPA TORANADINNI,M,IND,750,NA,NA,84839,140222,MANVI,GEN,8,60.5,0.88
Karnataka,1999,10,6,23,7,DODDANAGOUD,M,IND,653,NA,NA,84839,140222,MANVI,GEN,8,60.5,0.77
Karnataka,1999,10,6,23,8,SYED ABDUL SATTAR SYDE M.ABDUL RAHIM,M,IND,370,NA,NA,84839,140222,MANVI,GEN,8,60.5,0.44
Karnataka,1999,10,6,24,1,AMAREGOUDA BAYYAPUR LINGANAGOUDA,M,JD(U),31684,NA,NA,88125,147671,LINGSUGUR,GEN,5,59.68,35.95
Karnataka,1999,10,6,24,2,BASAWARAJ PATIL ANWARI,M,INC,28626,NA,NA,88125,147671,LINGSUGUR,GEN,5,59.68,32.48
Karnataka,1999,10,6,24,3,RAJA AMARAPPA NAIK,M,IND,15731,NA,NA,88125,147671,LINGSUGUR,GEN,5,59.68,17.85
Karnataka,1999,10,6,24,4,HANUMANTHAPPA YAMANAPPA TOGARI,M,JD(S),10661,NA,NA,88125,147671,LINGSUGUR,GEN,5,59.68,12.1
Karnataka,1999,10,6,24,5,SHEKARAYYA HUSENAPPA,M,IND,1423,NA,NA,88125,147671,LINGSUGUR,GEN,5,59.68,1.61
Karnataka,1999,10,6,25,1,HAMPANAGOUDA BADARLI,M,JD(U),64853,NA,NA,126917,194916,SINDHNOOR,GEN,6,65.11,51.1
Karnataka,1999,10,6,25,2,K.VIRUPAKSHAPPA,M,INC,59367,NA,NA,126917,194916,SINDHNOOR,GEN,6,65.11,46.78
Karnataka,1999,10,6,25,3,HULIGEPPA BADIGER,M,IND,930,NA,NA,126917,194916,SINDHNOOR,GEN,6,65.11,0.73
Karnataka,1999,10,6,25,4,BASHUMIYAN,M,CPI,815,NA,NA,126917,194916,SINDHNOOR,GEN,6,65.11,0.64
Karnataka,1999,10,6,25,5,GULAPPA,M,IND,626,NA,NA,126917,194916,SINDHNOOR,GEN,6,65.11,0.49
Karnataka,1999,10,6,25,6,NALLA SRIRAMALU,M,JD(S),326,NA,NA,126917,194916,SINDHNOOR,GEN,6,65.11,0.26
Karnataka,1999,10,6,26,1,HASANASAB NABEESAB DOTIHAL,M,INC,41200,NA,NA,87239,152555,KUSHTAGI,GEN,6,57.19,47.23
Karnataka,1999,10,6,26,2,K SHARANAPPA VAKEELARU,M,JD(S),25256,NA,NA,87239,152555,KUSHTAGI,GEN,6,57.19,28.95
Karnataka,1999,10,6,26,3,SHYAMARAO HIRE GONNAGAR,M,BJP,11701,NA,NA,87239,152555,KUSHTAGI,GEN,6,57.19,13.41
Karnataka,1999,10,6,26,4,CHANNANAGOUDA VIRUPAXAGOUDA MALI PATEEL,M,KRRS,4984,NA,NA,87239,152555,KUSHTAGI,GEN,6,57.19,5.71
Karnataka,1999,10,6,26,5,HAJIBEG DRIVER MUDAGAL,M,IND,2266,NA,NA,87239,152555,KUSHTAGI,GEN,6,57.19,2.6
Karnataka,1999,10,6,26,6,THAVARASING ROOPSING,M,IND,1832,NA,NA,87239,152555,KUSHTAGI,GEN,6,57.19,2.1
Karnataka,1999,10,6,27,1,SHIVASHARANAPPA GOUDA PATIL,M,INC,28706,NA,NA,82074,138623,YELBURGA,GEN,4,59.21,34.98
Karnataka,1999,10,6,27,2,HALAPPA BASAPPA ACHAR,M,JD(U),24993,NA,NA,82074,138623,YELBURGA,GEN,4,59.21,30.45
Karnataka,1999,10,6,27,3,"ESHANNA, LAKKAPPA, GULAGANNAVAR",M,BJP,17016,NA,NA,82074,138623,YELBURGA,GEN,4,59.21,20.73
Karnataka,1999,10,6,27,4,VEERANAGOUDA SHIVASHANTAGOWDA POLICE PATIL,M,JD(S),11359,NA,NA,82074,138623,YELBURGA,GEN,4,59.21,13.84
Karnataka,1999,10,6,28,1,M MALIKARJUN NAGAPPA,M,INC,55808,NA,NA,93953,155341,KANAKAGIRI,GEN,7,60.48,59.4
