wine names,fixed acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
Radius Merlot,8.2,0.34,5.1,0.062,22,0.9974,3.22,0.94,10.9,6
Radius Merlot,,0.02,2.1,0.066,25,0.9972,3.47,0.67,9.5,6
Chronic Cellars Sofa King Bueno,10.8,0.3,2.6,0.132,60,0.99786,2.99,1.18,10.2,5
Chronic Cellars Sofa King Bueno,7.8,0,1.9,0.072,55,0.9962,3.31,0.63,11,5
Radius Merlot,8.6,0.4,2.2,0.079,6,0.99512,3.27,0.67,11.9,6
Chronic Cellars Sofa King Bueno,5.6,0.05,2.4,0.073,25,0.99258,3.56,0.55,12.9,5
Radius Merlot,7.2,0.26,1.8,0.083,75,0.9968,3.4,0.58,9.5,6
Chronic Cellars Sofa King Bueno,10.6,0.37,2.6,0.086,70,0.9981,3.16,0.52,9.9,5
Chronic Cellars Sofa King Bueno,9,0.14,2.6,0.089,23,0.9984,3.39,0.63,9.8,5
Chronic Cellars Sofa King Bueno,7.4,0,1.8,0.075,40,0.9978,3.51,0.56,9.4,5
Radius Merlot,6.8,0.02,2.1,0.078,15,0.99498,3.35,0.62,10.4,6
Chronic Cellars Sofa King Bueno,12.5,0.63,2,0.071,15,0.9988,2.99,0.87,10.2,5
Radius Merlot,6.7,0.02,1.9,0.061,42,0.99489,3.39,0.82,10.9,6
Chronic Cellars Sofa King Bueno,9.1,0.33,1.3,0.07,30,0.9978,3.24,0.6,9.3,5
Chronic Cellars Sofa King Bueno,8.1,0.22,2.1,0.077,65,0.9967,3.29,0.51,9.2,5
Oak Ridge Zinfandel Lodi AV,10.5,0.64,2.4,0.107,15,0.9973,3.09,0.66,11.8,7
Layer Cake Cabernet,11.6,0.44,1.6,0.147,51,0.99836,3.38,0.86,9.9,4
Chronic Cellars Sofa King Bueno,6.1,0.15,1.8,0.072,19,0.9955,3.42,0.57,9.4,5
,7.6,0.33,2.5,0.078,23,0.9957,3.3,0.58,11.2,5
Oak Ridge Zinfandel Lodi AV,5.4,0.08,1.2,0.046,93,0.9924,3.57,0.85,13,7
Radius Merlot,7.8,0.3,1.9,0.075,22,0.9959,3.31,0.56,10.4,6
Oak Ridge Zinfandel Lodi AV,7.4,0.1,2.4,0.08,33,0.99736,3.58,0.69,10.8,7
Radius Merlot,6.9,0.18,2.4,0.243,48,0.99612,3.4,0.6,10.3,6
Radius Merlot,6.3,0.15,1.8,0.077,35,0.99314,3.32,0.82,11.6,6
Radius Merlot,9.5,0.52,2,0.088,51,0.99613,3.29,0.58,11.1,6
Oak Ridge Zinfandel Lodi AV,9.4,0.53,2.4,0.074,18,0.9962,3.2,1.13,12,7
Radius Merlot,8.1,0.09,2.8,0.084,49,0.9994,3.43,0.72,11.1,6
Pisano Tannat Rio de Los Pajaros,7.2,0.31,2,0.056,29,0.99472,3.23,0.76,11.3,8
Chronic Cellars Sofa King Bueno,6.9,0.15,2.2,0.076,40,0.9961,3.41,0.59,10.1,5
Chronic Cellars Sofa King Bueno,6.1,0.1,2.6,0.053,27,0.99362,3.57,0.5,11.9,5
Chronic Cellars Sofa King Bueno,9.3,0.26,3.4,0.09,87,0.99975,3.24,0.62,9.7,5
Radius Merlot,7.4,0.16,1.8,0.078,39,0.9977,3.5,0.7,9.9,6
Radius Merlot,9.6,0.42,2.4,0.081,52,0.997,3.2,0.71,11.4,6
Radius Merlot,,0.09,2.2,0.063,18,0.99444,3.42,0.69,11.3,6
Oak Ridge Zinfandel Lodi AV,7.3,0.01,1.8,0.093,15,0.99514,3.35,0.58,11,7
Radius Merlot,7.5,0.57,2.3,0.106,12,0.99605,3.36,0.55,11.4,6
Oak Ridge Zinfandel Lodi AV,8.1,0.36,2.2,0.048,53,0.995,3.27,1.01,12.4,7
Radius Merlot,6.4,0.15,1.8,0.078,65,0.99294,3.33,0.6,10.5,6
Radius Merlot,8.9,0.48,1.8,0.077,60,0.9968,3.39,0.53,9.4,6
Layer Cake Cabernet,6.3,0,2,0.083,24,0.99437,3.59,0.55,11.2,4
Radius Merlot,7.9,0.29,1.8,0.157,44,0.9973,3.3,0.92,9.5,6
Radius Merlot,9,0.12,2.4,0.083,28,0.99836,3.33,0.65,10.4,6
Chronic Cellars Sofa King Bueno,7.2,0.32,2.5,0.09,113,0.9966,3.32,0.79,11.1,5
Chronic Cellars Sofa King Bueno,11.9,0.49,2.7,0.098,42,1.0004,3.16,0.61,10.3,5
Chronic Cellars Sofa King Bueno,9.3,0.41,2,0.091,16,0.998,3.28,0.7,9.7,5
Radius Merlot,7.5,0.02,1.7,0.084,31,0.99538,3.36,0.54,10.5,6
Radius Merlot,10.5,0.47,2.2,0.074,23,0.99638,3.23,0.76,12,6
Radius Merlot,8,0.22,2.3,0.075,81,0.99688,3.24,0.54,9.5,6
Oak Ridge Zinfandel Lodi AV,7.6,0.02,2.5,0.071,14,0.99538,3.51,0.71,11.7,7
Chronic Cellars Sofa King Bueno,15.6,0.49,4.2,0.095,23,1.00315,2.92,0.74,11.1,5
Chronic Cellars Sofa King Bueno,6.6,0,3,0.115,31,0.99629,3.45,0.63,10.3,5
Chronic Cellars Sofa King Bueno,7.6,0.21,2.2,0.071,28,0.9964,3.28,0.55,9.7,5
Radius Merlot,10,0.47,2,0.061,11,0.99585,3.23,0.52,12,6
Oak Ridge Zinfandel Lodi AV,9.9,0.49,5,0.082,17,0.99484,3.19,0.52,12.5,7
Radius Merlot,9.1,0.24,2.1,0.078,28,0.999,3.41,0.87,10.3,6
,8.5,0.31,2.25,0.078,58,0.998,3.33,0.54,9.8,5
Oak Ridge Zinfandel Lodi AV,8.2,0.4,2.2,0.058,10,0.99536,3.31,0.68,11.2,7
Radius Merlot,9.5,0.24,2.7,0.092,44,0.998,3.12,0.74,10,6
Chronic Cellars Sofa King Bueno,6.7,0.23,2.1,0.08,119,0.99538,3.36,0.7,10.9,5
Oak Ridge Zinfandel Lodi AV,12.8,0.74,2.6,0.095,28,0.9994,3.2,0.77,10.8,7
Radius Merlot,8.3,0.42,2,0.08,27,0.9974,3.21,0.8,9.4,6
Layer Cake Cabernet,8.3,0.26,2.1,0.084,43,0.9976,3.31,0.53,9.2,4
Radius Merlot,8.5,0.2,2.8,0.09,58,0.998,3.34,0.7,9.6,6
Chronic Cellars Sofa King Bueno,7.5,0.24,1.8,0.36,63,0.9964,3,1.59,9.5,5
Chronic Cellars Sofa King Bueno,7,0,1.9,0.099,22,0.99606,3.34,0.6,9.7,5
Radius Merlot,9.1,0.48,1.8,0.067,46,0.9967,3.32,1.04,10.6,6
Chronic Cellars Sofa King Bueno,7.7,0.26,1.9,0.089,147,0.99636,3.26,0.59,9.7,5
Radius Merlot,10.3,0.42,2.4,0.213,14,0.9994,3.19,0.62,9.5,6
Chronic Cellars Sofa King Bueno,9.1,0.15,3.2,0.097,59,0.99976,3.28,0.54,9.6,5
Chronic Cellars Sofa King Bueno,8,0.05,2,0.089,32,0.99735,3.36,0.61,10,5
Radius Merlot,8.2,0.33,2.4,0.076,47,0.99599,3.27,0.81,11,6
Chronic Cellars Sofa King Bueno,7.7,0.42,1.9,0.092,86,0.9959,3.23,0.59,9.5,5
Oak Ridge Zinfandel Lodi AV,7.3,0,1.2,0.065,21,0.9946,3.39,0.47,10,7
Radius Merlot,8.6,0.28,1.9,0.11,136,0.9972,2.93,1.95,9.9,6
,9.8,0.39,3.2,0.083,59,0.9989,3.37,0.71,11.5,7
Layer Cake Cabernet,5,0.04,1.4,0.045,85,0.9938,3.75,0.48,10.5,4
Radius Merlot,11.6,0.64,2.1,0.059,15,0.998,3.21,0.67,10.2,6
Radius Merlot,9.1,0.68,1.7,0.414,64,0.99652,2.9,1.33,9.1,6
Radius Merlot,10.7,0.37,1.9,0.081,29,0.99674,3.12,0.65,11.2,6
Chronic Cellars Sofa King Bueno,7.1,0.14,2.8,0.076,37,0.99624,3.36,0.49,10.7,5
Chronic Cellars Sofa King Bueno,7.3,0.32,2.2,0.069,104,0.99632,3.33,0.51,9.5,5
Oak Ridge Zinfandel Lodi AV,7.7,0.01,1.8,0.088,18,0.99568,3.32,0.56,10.5,7
Chronic Cellars Sofa King Bueno,7.3,0.08,1.7,0.094,45,0.99576,3.24,0.5,9.8,5
Oak Ridge Zinfandel Lodi AV,8.5,0.56,1.8,0.092,103,0.9969,3.3,0.75,10.5,7
Chronic Cellars Sofa King Bueno,6.1,0.25,2.3,0.071,58,0.99633,3.42,0.97,10.6,5
Chronic Cellars Sofa King Bueno,9.9,0.5,13.8,0.205,82,1.00242,3.16,0.75,8.8,5
Chronic Cellars Sofa King Bueno,6.9,0.02,1.9,0.078,30,0.99712,3.4,0.75,9.8,5
Layer Cake Cabernet,6.9,0.06,2.1,0.061,31,0.9948,3.51,0.43,11.4,4
Chronic Cellars Sofa King Bueno,7.5,0.11,1.5,0.079,39,0.9968,3.42,0.58,9.6,5
Chronic Cellars Sofa King Bueno,9.3,0.44,2.1,0.107,125,0.9978,3.14,1.22,9.5,5
Oak Ridge Zinfandel Lodi AV,11.9,0.53,3.4,0.128,21,0.9992,3.17,0.84,12.2,7
Radius Merlot,8.8,0.45,2.6,0.065,18,0.9947,3.32,0.79,14,6
Chronic Cellars Sofa King Bueno,7.2,0.06,2.7,0.077,85,0.99746,3.51,0.54,9.5,5
Oak Ridge Zinfandel Lodi AV,10.1,0.34,2.4,0.085,17,0.99683,3.17,0.65,10.6,7
Chronic Cellars Sofa King Bueno,8,0.23,3.2,0.073,119,0.99675,3.26,0.57,9.3,5
Chronic Cellars Sofa King Bueno,9,0.31,2.7,0.084,125,0.9984,3.31,0.61,9.4,5
Radius Merlot,11.1,0.42,2.2,0.064,19,0.99758,3.25,0.57,10.4,6
Radius Merlot,7.2,0,2.2,0.068,24,0.9956,3.42,0.72,11.1,6
Chronic Cellars Sofa King Bueno,7,0,2.5,0.068,20,0.9969,3.48,0.56,9.6,5
Radius Merlot,7,0.07,2.5,0.091,21,0.99572,3.38,0.6,11.3,6
